ScenarioText,QuestionText,PillarCode,AreaCode,CompetencyCode,OptA,WeightA,OptB,WeightB,OptC,WeightC,OptD,WeightD,OptE,WeightE
"Kampus merilis Buku Panduan Akademik terbaru dalam format PDF terkompresi (.zip) di portal Sistem Informasi Akademik.","Bagaimana prosedur Anda untuk mendapatkan dan membuka file tersebut di perangkat Anda?",DSK,0,0.2,"Tidak tahu cara membuka dan meminta orang lain membukanya",1,"Mencoba membuka langsung tanpa aplikasi ekstrak",2,"Mengunduh aplikasi sembarang untuk membuka zip",3,"Menggunakan fitur extract bawaan sistem operasi untuk membuka file",4,"Mengekstrak file zip dan mengelola file PDF di folder akademik khusus",5
"Anda sedang berada di perpustakaan kampus dan perlu menghubungkan laptop ke jaringan Wi-Fi internal kampus yang membutuhkan otentikasi.","Langkah apa yang Anda lakukan?",DSK,0,0.1,"Marah dan menggunakan kuota pribadi",1,"Bertanya ke teman tanpa mencoba sendiri",2,"Mencoba login berulang kali tanpa tahu portalnya",3,"Mencari portal login kampus dan memasukkan kredensial",4,"Menggunakan kredensial resmi dan memastikan jaringan aman sebelum browsing",5
"Batas waktu pengumpulan tugas besar di Google Classroom (LMS) tersisa 5 menit. Dosen meminta file berformat PDF namun laporan Anda masih berformat Word (.docx) berukuran 25MB.","Apa tindakan tercepat Anda?",DSK,0,0.2,"Menyerah dan tidak mengumpulkan tugas",1,"Mengirimkan via email pribadi ke dosen tanpa izin",2,"Mengunggah file word apa adanya dan berharap dosen menerima",3,"Menggunakan situs kompresor PDF online untuk memperkecil ukuran",4,"Mengkonversi ke PDF dengan resolusi optimal bawaan Word agar ukurannya kecil",5
"Anda sedang menyusun Bab 2 Skripsi dan membutuhkan jurnal internasional yang diterbitkan antara tahun 2020-2024.","Fitur pencarian spesifik apa yang Anda gunakan pada Google Scholar untuk menyaring hasil secara akurat?",DSK,1,1.1,"Hanya mengetik judul asal",1,"Mencari di halaman pertama saja tanpa filter",2,"Mencari di Google biasa dan mengambil pdf acak",3,"Menggunakan filter tahun 2020-2024 di menu pencarian",4,"Menggunakan fitur advanced search dan filter tahun untuk hasil presisi",5
"Laptop Anda hampir penuh dan Anda memiliki banyak draf source code serta dokumen skripsi yang sangat penting.","Bagaimana strategi penyimpanan digital yang Anda terapkan untuk memastikan data tidak hilang jika laptop rusak?",DSK,1,1.3,"Disimpan di desktop tanpa folder",1,"Disimpan di flashdisk yang rawan hilang",2,"Disimpan di satu folder saja di laptop",3,"Mengirim draf ke email sendiri sebagai backup",4,"Menggunakan Cloud Storage yang tersinkronisasi otomatis dengan folder lokal",5
"Anda harus menghadiri kuliah perdana secara sinkronus menggunakan platform Zoom. Dosen mewajibkan penggunaan virtual background dan nama format khusus.","Bagaimana Anda mempersiapkan hal tersebut sebelum masuk ke ruang rapat?",DSK,2,2.1,"Masuk tanpa mempedulikan aturan",1,"Masuk lalu baru bertanya cara mengubah nama",2,"Mencoba mengubah nama tapi gagal memasang background",3,"Mengubah nama dan background sebelum join meeting",4,"Melakukan testing video dan audio serta mengubah nama dan background sebelum sesi",5
"Anda perlu membeli buku referensi cetak impor untuk mata kuliah tertentu melalui e-commerce.","Bagaimana Anda memfilter pencarian untuk memastikan buku tersebut asli dan bukan bajakan?",DSK,1,1.2,"Membeli yang paling murah tanpa melihat ulasan",1,"Membeli yang muncul pertama kali",2,"Bertanya ke penjual apakah ini asli",3,"Membaca ulasan pembeli sebelumnya",4,"Membeli hanya dari Official Store atau penjual dengan reputasi terverifikasi",5
"Saat menyusun makalah Anda menemukan artikel blog yang sangat mendukung argumen Anda namun tidak memiliki daftar pustaka.","Langkah apa yang Anda ambil sebelum memasukkan data dari blog tersebut ke dalam makalah?",DSK,1,1.2,"Langsung menyalin semua isinya",1,"Menggunakan sebagian kecil tanpa ragu",2,"Menyalin lalu mencari daftar pustaka palsu",3,"Mencari sumber asli dari kutipan blog tersebut",4,"Mencari jurnal akademik resmi yang membahas topik yang sama sebagai referensi",5
"Seseorang membagikan tangkapan layar di grup WhatsApp angkatan yang menyatakan bahwa perkuliahan besok diliburkan karena perbaikan server kampus.","Bagaimana cara Anda memverifikasi kebenaran informasi tersebut?",DSK,1,1.2,"Mempercayai dan ikut menyebarkan",1,"Langsung bolos kuliah keesokan harinya",2,"Bertanya ke teman terdekat saja",3,"Bertanya di grup lain apakah benar",4,"Mengecek portal berita akademik resmi atau bertanya langsung ke tata usaha kampus",5
"Pihak rektorat mengeluarkan kebijakan baru mengenai aturan parkir kampus melalui akun Instagram resmi. Banyak mahasiswa tidak setuju.","Bagaimana cara Anda mengekspresikan ketidaksetujuan Anda secara digital?",DET,2,2.3,"Menggunakan akun anonim untuk memaki",1,"Menulis kata kasar di kolom komentar",2,"Mengajak teman untuk melakukan spam komentar",3,"Menulis opini ketidaksetujuan dengan bahasa sopan",4,"Mengajukan protes melalui forum mahasiswa resmi atau audiensi kampus",5
"Seorang teman satu kelompok curhat secara pribadi via WhatsApp mengenai kekesalannya terhadap Dosen pembimbing. Teman lain di kelompok yang sama bertanya kepada Anda apa yang terjadi.","Apa tindakan Anda?",DET,4,4.2,"Membagikan screenshot ke grup angkatan",1,"Memberikan screenshot ke teman yang bertanya",2,"Menceritakan ulang dengan menambahkan bumbu cerita",3,"Menolak memberikan screenshot dan meminta bertanya langsung ke orangnya",4,"Menjaga kerahasiaan dan mengingatkan teman untuk tidak menyebar rumor",5
"Anda bertugas sebagai admin media sosial Himpunan Mahasiswa. Seseorang meninggalkan komentar yang sangat kasar dan provokatif di postingan acara terbaru himpunan Anda.","Bagaimana Anda meresponsnya?",DET,2,2.5,"Membalas makian dengan lebih kasar menggunakan akun himpunan",1,"Mengabaikan dan membiarkan perdebatan terjadi",2,"Membalas dengan akun pribadi untuk menyerang balik",3,"Menghapus komentar tersebut",4,"Menghapus komentar dan memblokir akun tersebut untuk menjaga kondusivitas",5
"Anda ditunjuk sebagai ketua kelompok Kerja Praktik gabungan lintas program studi. Anda memiliki nomor telepon anggota dari prodi lain yang belum Anda kenal.","Apa langkah pertama Anda sebelum berkoordinasi?",DET,2,2.5,"Langsung memasukkan nomor tanpa permisi",1,"Memasukkan nomor lalu langsung membagi tugas",2,"Memasukkan nomor lalu baru memperkenalkan diri di grup",3,"Menghubungi secara personal dulu namun langsung menelpon",4,"Mengirim pesan personal untuk perkenalan diri dan meminta izin membuat grup",5
"Saat masa orientasi Anda memotret teman Anda yang sedang tertidur dengan pose lucu di aula. Anda berniat mengunggahnya ke Instagram Story untuk bahan bercandaan.","Apa yang seharusnya Anda lakukan sebelum mengunggah?",DET,4,4.2,"Langsung mengunggah ke publik",1,"Mengunggah di fitur close friends saja",2,"Menyimpan untuk dijadikan bahan ejekan nanti",3,"Mengirim ke teman tersebut sebagai candaan privat",4,"Menghapus foto tersebut untuk menghormati privasi teman",5
"Anda baru saja menyelesaikan Sidang Skripsi dan berfoto bersama Dosen Penguji serta teman-teman. Anda ingin mengunggah foto tersebut di media sosial dan menandai akun pribadi Dosen Anda.","Bagaimana etika yang tepat?",DET,2,2.5,"Langsung tag akun pribadi dosen agar terlihat akrab",1,"Tag di foto yang dosen terlihat kurang baik",2,"Mengunggah tanpa tag sama sekali",3,"Menanyakan ke dosen apakah boleh di tag",4,"Mengunggah dengan caption profesional dan hanya tag jika sudah mendapat izin",5
"Sebuah pesan berantai di grup WhatsApp angkatan mengabarkan bahwa salah satu mahasiswa mengalami kecelakaan parah yang disertai dengan foto korban yang belum disensor.","Apa tindakan etis yang Anda ambil?",DET,2,2.2,"Langsung meneruskan pesan ke semua grup",1,"Menyimpan foto korban di galeri",2,"Mengomentari kondisi korban di grup",3,"Menghapus foto dan hanya meneruskan informasi teks",4,"Mengingatkan grup untuk tidak menyebar foto korban demi empati kepada keluarga",5
"Menjelang masa pengisian Formulir Rencana Studi yang sangat kompetitif Divisi IT kampus mewajibkan Anda memperbarui kata sandi akun portal akademik.","Format kata sandi seperti apa yang paling aman untuk mencegah peretasan akun?",DSA,4,4.2,"Menggunakan nama dan tanggal lahir",1,"Menggunakan kata sandi yang sama dengan media sosial",2,"Menggunakan kombinasi huruf dan angka sederhana",3,"Menggunakan kombinasi huruf besar kecil dan angka",4,"Menggunakan kombinasi acak unik dan menyimpannya di password manager",5
"Anda sedang melamar program magang MBKM di perusahaan multinasional. Menyadari bahwa recruiter sering memeriksa jejak digital pelamar bagaimana Anda mengatur setelan privasi akun media sosial Anda?","Bagaimana Anda mengatur setelan privasi akun media sosial Anda?",DSA,2,2.6,"Membiarkan akun publik dengan konten bebas",1,"Mengubah nama akun tapi foto asli",2,"Menghapus beberapa foto lama secara acak",3,"Mengubah akun menjadi privat penuh",4,"Membersihkan konten tidak profesional dan mempertahankan profil publik positif",5
"Anda mengunduh aplikasi pihak ketiga penunjang produktivitas belajar. Aplikasi tersebut meminta izin akses layanan lokasi secara real-time di latar belakang.","Apa tindakan pengamanan data pribadi yang Anda lakukan?",DSA,4,4.2,"Mengizinkan akses lokasi secara penuh selamanya",1,"Mengabaikan peringatan aplikasi",2,"Mengizinkan akses hanya saat aplikasi digunakan",3,"Menolak izin akses lokasi karena tidak relevan dengan fungsi aplikasi",4,"Menghapus aplikasi dan mencari alternatif yang menghargai privasi data",5
"H-3 sebelum Sidang Skripsi laptop Anda tiba-tiba mengalami kerusakan hard disk dan tidak bisa dinyalakan. Untuk mengantisipasi skenario terburuk ini bagaimana strategi pencadangan data yang sudah Anda persiapkan sebelumnya?","Bagaimana strategi pencadangan data yang sudah Anda persiapkan sebelumnya?",DSA,4,4.1,"Pasrah dan mengulang dari nol",1,"Meminta tolong teknisi data dengan biaya mahal",2,"Hanya menyimpan di flashdisk cadangan",3,"Menyimpan draf di email secara berkala",4,"Menggunakan Cloud Storage dengan fitur autosync sebagai lokasi penyimpanan utama",5
"Saat masa orientasi mahasiswa baru sebuah akun anonim di forum diskusi kampus mulai melakukan perundungan siber terhadap salah satu teman angkatan Anda.","Langkah teknis apa yang Anda ambil untuk menghentikan akun tersebut?",DSA,4,4.3,"Ikut merundung agar terlihat keren",1,"Membiarkan saja karena bukan urusan pribadi",2,"Membalas akun anonim tersebut dengan emosi",3,"Melakukan report abuse pada postingan tersebut",4,"Melakukan report abuse mendokumentasikan bukti dan melaporkan ke satgas kampus",5
"Anda baru saja mencetak draf laporan di pusat fotocopy sekitar kampus menggunakan flash disk. Saat flash disk tersebut disambungkan kembali ke laptop Anda sistem mendeteksi adanya malware.","Apa tindakan pertama yang Anda lakukan?",DSA,4,4.1,"Membiarkan saja dan lanjut bekerja",1,"Membuka file untuk melihat apakah rusak",2,"Memformat flashdisk tanpa mempedulikan laptop",3,"Mencabut flashdisk dan merestart laptop",4,"Melakukan full scan menggunakan antivirus dan memisahkan file yang terinfeksi",5
"Anda menerima email dengan subjek URGENT Kuota Email Institusi Penuh yang meminta Anda mengklik sebuah tautan dan memasukkan password kampus agar email tidak diblokir.","Bagaimana cara Anda memverifikasinya?",DSA,4,4.1,"Langsung mengklik tautan karena panik",1,"Mengisi password asal-asalan",2,"Membalas email tersebut untuk bertanya",3,"Mengabaikan email tersebut",4,"Memeriksa alamat pengirim asli dan melaporkan email sebagai phishing ke tim IT",5
"Dalam forum diskusi LMS seorang mahasiswa dari daerah lain memberikan opini yang berbeda dengan Anda. Anda ingin menyanggah opininya.","Bagaimana Anda menyusun kalimat balasan agar tetap kritis namun tidak menyinggung lawan bicara?",DCU,2,2.5,"Menyerang personal daerah asalnya",1,"Menyindir menggunakan bahasa daerah yang tidak dia mengerti",2,"Membantah dengan kasar bahwa pendapatnya salah",3,"Menyampaikan ketidaksetujuan secara langsung",4,"Mengapresiasi pendapatnya lalu menyampaikan argumen balasan dengan data",5
"Anda adalah ketua kelompok tugas besar. Anda harus menentukan jadwal meeting online di akhir pekan namun hari tersebut bertepatan dengan hari raya agama tertentu.","Bagaimana Anda menggunakan fitur digital untuk mengakomodasi hak ibadah?",DCU,2,2.4,"Memaksa jadwal karena mayoritas bisa",1,"Menyuruh anggota tersebut tidak usah ikut",2,"Memilih jadwal sepihak tanpa diskusi",3,"Bertanya di grup siapa yang keberatan",4,"Menggunakan fitur polling digital untuk mencari irisan waktu yang disepakati",5
"Anda menemukan sebuah meme di internet yang menggunakan stereotip suku tertentu sebagai bahan candaan. Anda berniat membagikan meme tersebut ke grup WhatsApp angkatan.","Tindakan apa yang mencerminkan literasi budaya digital yang baik?",DCU,2,2.5,"Membagikan ke grup karena dianggap lucu",1,"Menyimpan untuk dibagikan ke teman satu suku",2,"Membagikan dengan caption bahwa ini hanya candaan",3,"Mengabaikan dan tidak membagikan",4,"Melaporkan postingan tersebut karena melanggar etika dan berpotensi memecah belah",5
"Anda terpilih mengikuti program pertukaran mahasiswa secara virtual dengan kampus luar negeri. Anda diminta membuat video presentasi perkenalan diri.","Bagaimana Anda mempromosikan budaya Indonesia dalam tugas tersebut?",DCU,3,3.1,"Hanya merekam perkenalan biasa di kamar",1,"Menggunakan filter yang tidak relevan",2,"Mengunduh video pariwisata dari YouTube tanpa izin",3,"Memakai pakaian daerah saat merekam video",4,"Menggabungkan rekaman presentasi dengan aset visual budaya Indonesia yang legal",5
"Saat masa Pemilu Kampus seorang teman dekat Anda secara aktif mengkampanyekan kandidat A di Instagram Story miliknya sementara Anda adalah pendukung keras kandidat B.","Bagaimana etika berinteraksi yang Anda tunjukkan?",DCU,2,2.5,"Memaki teman tersebut di DM Instagram",1,"Membuat story sindiran untuk kandidat A",2,"Berhenti mengikuti akun teman tersebut",3,"Mengabaikan story tersebut",4,"Menghargai perbedaan pandangan politik dan tetap berinteraksi baik secara digital",5
