Text,PillarCode,AreaCode,CompetencyCode,OptA,WeightA,OptB,WeightB,OptC,WeightC,OptD,WeightD,OptE,WeightE
Saat presentasi di kelas proyektor tidak mendeteksi laptop Anda. Apa yang Anda lakukan?,DSK,0,0.1,Panik dan membatalkan presentasi,1,Minta tolong teman tanpa mencoba,2,Mencabut-colok kabel HDMI asal-asalan,3,Mengecek port HDMI dan display settings,4,Mengatur display output dengan benar,5
Anda ditugaskan menginstal aplikasi statistik untuk tugas kuliah.,DSK,0,0.2,Menyerah dan numpang laptop teman,1,Membayar orang untuk menginstal,2,Menginstal tapi bingung setting awal,3,Menginstal sambil melihat tutorial YouTube,4,Mandiri menginstal dan mengatur konfigurasi aplikasi,5
Dosen meminta Anda mencari jurnal internasional untuk daftar pustaka skripsi.,DSK,1,1.1,Menggunakan Wikipedia saja,1,Asal ketik di Google biasa,2,Menggunakan Google Scholar tapi tidak difilter,3,Mencari di portal jurnal resmi,4,Menggunakan teknik pencarian Boolean di portal jurnal,5
Anda menemukan artikel mengejutkan tentang kampus di portal berita tidak resmi.,DSK,1,1.2,Langsung percaya seratus persen,1,Ragu tapi tidak mencari tahu,2,Membaca komentar orang lain saja,3,Mengecek sumber di Google,4,Melakukan cross-check pada 3 portal berita resmi,5
Bagaimana cara Anda mengelola file tugas kuliah Anda selama satu semester?,DSK,1,1.3,Disimpan acak di Desktop,1,Disimpan di Flashdisk,2,Disimpan di folder laptop tanpa backup,3,Di-backup di Cloud tapi berantakan,4,Disimpan di Cloud dengan struktur folder rapi,5
Anda harus membuat poster untuk acara himpunan mahasiswa.,DSK,3,3.1,Hanya memakai teks hitam putih,1,Memakai template jadul bawaan PPT,2,Membuat desain dasar tanpa gambar,3,Menggunakan Canva dengan desain menarik,4,Mendesain elemen visual mandiri,5
Anda mendapat tugas mengumpulkan video wawancara kelompok.,DSK,3,3.2,Mengumpulkan video mentah terpisah,1,Menyuruh teman yang mengedit,2,Menggabungkan seadanya tanpa transisi,3,Mengedit dengan aplikasi HP rapi,4,Mengedit profesional dengan audio jernih,5
Anda butuh musik latar untuk tugas video dokumenter kampus.,DSK,3,3.3,Asal download lagu populer,1,Menggunakan lagu tanpa mencantumkan sumber,2,Memakai lagu apa saja tapi menulis nama artis,3,Mencari audio di YouTube Audio Library,4,Menggunakan musik berlisensi Creative Commons,5
Sejauh mana kemampuan Anda dalam memahami rumus otomatis?,DSK,3,3.4,Menghitung manual dengan kalkulator,1,Hanya tahu copy-paste data,2,Tahu rumus dasar SUM atau AVERAGE di Excel,3,Bisa menggunakan rumus IF atau VLOOKUP di Excel,4,Bisa membuat Script sederhana untuk otomatisasi,5
Anda ingin bertanya kepada dosen via pesan teks terkait revisi tugas.,DET,2,2.1,Menge-chat P atau langsung menelpon,1,Chat tanpa menyebutkan nama,2,Chat sopan tapi di tengah malam,3,Chat sopan di jam kerja tapi bertele-tele,4,Salam dan sebut identitas di jam kerja,5
Anda mendapat info lowongan magang Hoax di grup angkatan.,DET,2,2.2,Ikut menyebarkan ke grup lain,1,Diam saja tidak peduli,2,Beri tahu teman dekat saja,3,Menegur penyebar di grup secara halus,4,Memberikan bukti link klarifikasi Hoax,5
Kampus membuat survei online evaluasi fasilitas kampus.,DET,2,2.3,Mengabaikan dan tidak mengisi,1,Mengisi asal-asalan agar cepat selesai,2,Mengisi hanya kalau dipaksa,3,Mengisi dengan jujur sesuai pengalaman,4,Mengisi detail beserta kritik dan saran membangun,5
Kelompok Anda harus menyusun makalah bersama. Cara kerja yang Anda pilih:,DET,2,2.4,Mengerjakan di Word masing-masing,1,Satu orang saja yang mengetik,2,Kirim-kiriman file Word di grup,3,Menggunakan Google Docs tapi tidak rapi,4,Menggunakan Google Docs kolaborasi realtime,5
Terjadi perdebatan panas di kolom komentar Instagram organisasi kampus.,DET,2,2.5,Ikut memaki menggunakan akun palsu,1,Memanaskan suasana dengan komentar sarkas,2,Membaca saja sambil tertawa,3,Melaporkan komentar kasar tersebut,4,Menengahi dengan bahasa sopan,5
